"Time"	G1	G2	G3	G4	G5	G6	G7	G8

0	1.0218777	1.0491553	0.9787855	0.6942853	0.2520039	0.2648888	1.0778473	0.6277866
50	1.0502917	0.8658035	0.9232309	1.0338426	0.2163010	0.0839800	0.2652680	0.5865917
100	1.0234896	0.8491445	0.8700924	0.9647121	0.2188863	0.0190554	0.0817768	0.5758291
150	0.9850877	0.8040650	0.9124444	0.9863355	0.2133067	0.0073086	0.0310766	0.6265687
200	0.9744805	0.8335929	0.9665912	0.9936257	0.1798564	0.0066591	0.0324367	0.6977881
250	1.0020066	0.7943355	0.9935006	0.8938013	0.1896371	0.0051607	0.0298362	0.6861457
300	1.0354618	0.8108383	0.9657463	1.0583982	0.1941670	0.0007642	0.0237604	0.6125095
350	1.0387591	0.8245773	0.9724748	1.0229253	0.1694395	0.0047786	0.0215225	0.6857286
400	1.1666002	0.8644694	0.9684310	1.0124373	0.1777804	0.0010754	0.0246090	0.6490910
450	1.0886108	0.7436868	0.9256178	0.9563563	0.2220985	0.0000000	0.0209602	0.5877845
500	1.0607232	0.7429878	1.0167130	1.0111453	0.1726437	0.0030611	0.0123976	0.6519476
550	0.9714619	0.9361044	0.9150055	0.8575570	0.2194289	0.1615896	0.8025722	0.5775243
600	1.0575874	0.9840874	1.0324078	0.8191207	0.2344292	0.2095628	1.0014733	0.6076372
650	0.9252580	1.0520335	0.9859625	0.7767546	0.2094096	0.2066138	0.9832149	0.5753408
700	0.9886766	1.0890129	1.0208495	0.7761145	0.2187143	0.2528902	1.0340109	0.6350736
750	0.9850542	0.9597493	1.0280835	0.7620283	0.2451082	0.2557500	1.0319697	0.6358195
800	1.0349404	1.0900005	0.9876985	0.7556572	0.2154094	0.2119097	1.0782627	0.6341626
850	1.0700292	1.0077966	0.9086292	0.7724579	0.2356041	0.2602145	1.0610442	0.5913035
900	0.9829892	1.0584243	0.9921991	0.7932009	0.2825247	0.2724549	0.9921427	0.6034930
950	0.9742458	1.1156562	1.0213723	0.7611592	0.2417005	0.2584124	0.9655982	0.6505160
1000	1.0640771	0.9762761	0.9733295	0.7931616	0.2286406	0.2269511	0.9287299	0.5818118
